T26,Population employed in research and development (R&D),,,,,
756,Switzerland,2008,R & D personnel: Technicians - total (number in full-time equivalent),21762.5460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2008,R & D personnel: Technicians - women (number in full-time equivalent),9140.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),15161.4470,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2008,R & D personnel: Other supporting staff - women (number in full-time equivalent),13245.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Total (number in full-time equivalent),81451.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Researchers - total (number in full-time equivalent),43740.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Researchers - women (number in full-time equivalent),23762.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Technicians - total (number in full-time equivalent),24353.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Technicians - women (number in full-time equivalent),15090.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),13359.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
756,Switzerland,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),10916.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
760,Syrian Arab Republic,2015,R & D personnel: Total (number in full-time equivalent),2860.0000,Excluding data for other supporting staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
760,Syrian Arab Republic,2015,R & D personnel: Researchers - total (number in full-time equivalent),1637.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
760,Syrian Arab Republic,2015,R & D personnel: Researchers - women (number in full-time equivalent),575.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
760,Syrian Arab Republic,2015,R & D personnel: Technicians - total (number in full-time equivalent),1223.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
760,Syrian Arab Republic,2015,R & D personnel: Technicians - women (number in full-time equivalent),544.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2004,R & D personnel: Total (number in full-time equivalent),2487.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2004,R & D personnel: Researchers - total (number in full-time equivalent),1548.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2004,R & D personnel: Researchers - women (number in full-time equivalent),407.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2004,R & D personnel: Technicians - total (number in full-time equivalent),247.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),692.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2005,R & D personnel: Total (number in full-time equivalent),3220.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2005,R & D personnel: Researchers - total (number in full-time equivalent),1993.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2005,R & D personnel: Technicians - total (number in full-time equivalent),324.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),903.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2006,R & D personnel: Total (number in full-time equivalent),3110.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2006,R & D personnel: Researchers - total (number in full-time equivalent),1895.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2006,R & D personnel: Researchers - women (number in full-time equivalent),735.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2006,R & D personnel: Technicians - total (number in full-time equivalent),202.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2006,R & D personnel: Other supporting staff - total (number in full-time equivalent),1013.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2010,R & D personnel: Total (number in full-time equivalent),2827.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2010,R & D personnel: Researchers - total (number in full-time equivalent),1802.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2010,R & D personnel: Technicians - total (number in full-time equivalent),329.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),427.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Total (number in full-time equivalent),3720.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Researchers - total (number in full-time equivalent),2562.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Researchers - women (number in full-time equivalent),984.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Technicians - total (number in full-time equivalent),332.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Technicians - women (number in full-time equivalent),116.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),533.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
762,Tajikistan,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),241.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2005,R & D personnel: Total (number in full-time equivalent),36967.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2005,R & D personnel: Researchers - total (number in full-time equivalent),20506.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2005,R & D personnel: Researchers - women (number in full-time equivalent),10241.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5941.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2009,R & D personnel: Total (number in full-time equivalent),60344.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2009,R & D personnel: Researchers - total (number in full-time equivalent),22000.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2009,R & D personnel: Researchers - women (number in full-time equivalent),11064.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),23308.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2016,R & D personnel: Total (number in full-time equivalent),112386.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2016,R & D personnel: Researchers - total (number in full-time equivalent),83349.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2016,R & D personnel: Researchers - women (number in full-time equivalent),39953.0000,Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2016,R & D personnel: Technicians - women (number in full-time equivalent),8991.0000,Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),6982.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),3990.0000,Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2017,R & D personnel: Researchers - total (number in full-time equivalent),93457.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
764,Thailand,2017,R & D personnel: Researchers - women (number in full-time equivalent),45376.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2005,R & D personnel: Total (number in full-time equivalent),312.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2005,R & D personnel: Researchers - total (number in full-time equivalent),186.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2005,R & D personnel: Technicians - total (number in full-time equivalent),126.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Total (number in full-time equivalent),443.7000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Researchers - total (number in full-time equivalent),220.3000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Researchers - women (number in full-time equivalent),21.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Technicians - total (number in full-time equivalent),54.4000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Technicians - women (number in full-time equivalent),10.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),169.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),14.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Total (number in full-time equivalent),361.6700,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Researchers - total (number in full-time equivalent),298.3700,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Researchers - women (number in full-time equivalent),27.1900,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Technicians - total (number in full-time equivalent),18.1000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Technicians - women (number in full-time equivalent),1.0500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),45.2000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
768,Togo,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),16.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2005,R & D personnel: Total (number in full-time equivalent),954.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2005,R & D personnel: Researchers - total (number in full-time equivalent),548.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2005,R & D personnel: Researchers - women (number in full-time equivalent),183.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2005,R & D personnel: Technicians - total (number in full-time equivalent),406.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2005,R & D personnel: Technicians - women (number in full-time equivalent),180.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2010,R & D personnel: Total (number in full-time equivalent),1351.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2010,R & D personnel: Researchers - total (number in full-time equivalent),951.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2010,R & D personnel: Researchers - women (number in full-time equivalent),462.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2010,R & D personnel: Technicians - total (number in full-time equivalent),400.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2010,R & D personnel: Technicians - women (number in full-time equivalent),152.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Total (number in full-time equivalent),2636.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Researchers - total (number in full-time equivalent),1375.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Researchers - women (number in full-time equivalent),684.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Technicians - total (number in full-time equivalent),476.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Technicians - women (number in full-time equivalent),190.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),785.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),333.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2017,R & D personnel: Researchers - total (number in full-time equivalent),1506.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
780,Trinidad and Tobago,2017,R & D personnel: Researchers - women (number in full-time equivalent),842.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Total (number in full-time equivalent),15589.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Researchers - total (number in full-time equivalent),14727.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Researchers - women (number in full-time equivalent),7654.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Technicians - total (number in full-time equivalent),499.0000,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Technicians - women (number in full-time equivalent),197.0000,Excluding technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),363.0000,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),228.0000,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Total (number in full-time equivalent),23590.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Researchers - total (number in full-time equivalent),22407.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Researchers - women (number in full-time equivalent),13384.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Technicians - total (number in full-time equivalent),717.0000,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Technicians - women (number in full-time equivalent),300.0000,Excluding technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),466.0000,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
788,Tunisia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),284.0000,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Total (number in full-time equivalent),49251.4350,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Researchers - total (number in full-time equivalent),39138.9820,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Researchers - women (number in full-time equivalent),13381.4270,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Technicians - total (number in full-time equivalent),4752.8560,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Technicians - women (number in full-time equivalent),988.3060,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5359.5970,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),977.6320,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2010,R & D personnel: Total (number in full-time equivalent),81791.5420,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2010,R & D personnel: Researchers - total (number in full-time equivalent),64340.9640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
