T10,Expenditure on health,,,,,
626,Timor-Leste,2016,Current health expenditure (% of GDP),4.0206,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
626,Timor-Leste,2017,Current health expenditure (% of GDP),3.8823,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
626,Timor-Leste,2005,Domestic general government health expenditure (% of total government expenditure),3.6345,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
626,Timor-Leste,2010,Domestic general government health expenditure (% of total government expenditure),2.7105,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
626,Timor-Leste,2015,Domestic general government health expenditure (% of total government expenditure),4.5055,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
626,Timor-Leste,2016,Domestic general government health expenditure (% of total government expenditure),3.1209,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
626,Timor-Leste,2017,Domestic general government health expenditure (% of total government expenditure),5.1873,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2000,Current health expenditure (% of GDP),3.3097,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2005,Current health expenditure (% of GDP),3.9686,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2010,Current health expenditure (% of GDP),5.9004,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2015,Current health expenditure (% of GDP),6.2494,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2016,Current health expenditure (% of GDP),6.5770,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2017,Current health expenditure (% of GDP),6.1995,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2000,Domestic general government health expenditure (% of total government expenditure),2.4448,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2005,Domestic general government health expenditure (% of total government expenditure),3.8008,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2010,Domestic general government health expenditure (% of total government expenditure),7.4459,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2015,Domestic general government health expenditure (% of total government expenditure),4.1556,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2016,Domestic general government health expenditure (% of total government expenditure),4.2594,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
768,Togo,2017,Domestic general government health expenditure (% of total government expenditure),5.0529,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2000,Current health expenditure (% of GDP),2.9269,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2005,Current health expenditure (% of GDP),4.1623,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2010,Current health expenditure (% of GDP),4.7410,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2015,Current health expenditure (% of GDP),4.6520,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2016,Current health expenditure (% of GDP),5.1782,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2017,Current health expenditure (% of GDP),5.2693,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2000,Domestic general government health expenditure (% of total government expenditure),11.4131,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2005,Domestic general government health expenditure (% of total government expenditure),10.5927,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2010,Domestic general government health expenditure (% of total government expenditure),9.0327,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2015,Domestic general government health expenditure (% of total government expenditure),6.8444,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2016,Domestic general government health expenditure (% of total government expenditure),7.3341,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
776,Tonga,2017,Domestic general government health expenditure (% of total government expenditure),7.3840,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2000,Current health expenditure (% of GDP),4.2349,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2005,Current health expenditure (% of GDP),4.4345,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2010,Current health expenditure (% of GDP),5.0804,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2015,Current health expenditure (% of GDP),6.0395,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2016,Current health expenditure (% of GDP),6.8703,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2017,Current health expenditure (% of GDP),6.9787,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2000,Domestic general government health expenditure (% of total government expenditure),6.7857,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2005,Domestic general government health expenditure (% of total government expenditure),8.8725,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2010,Domestic general government health expenditure (% of total government expenditure),8.0441,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2015,Domestic general government health expenditure (% of total government expenditure),8.3091,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2016,Domestic general government health expenditure (% of total government expenditure),9.7582,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
780,Trinidad and Tobago,2017,Domestic general government health expenditure (% of total government expenditure),11.2112,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2000,Current health expenditure (% of GDP),5.0483,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2005,Current health expenditure (% of GDP),5.3974,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2010,Current health expenditure (% of GDP),5.8840,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2015,Current health expenditure (% of GDP),7.0074,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2016,Current health expenditure (% of GDP),6.9962,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2017,Current health expenditure (% of GDP),7.2325,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2000,Domestic general government health expenditure (% of total government expenditure),10.5429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2005,Domestic general government health expenditure (% of total government expenditure),11.3501,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2010,Domestic general government health expenditure (% of total government expenditure),13.0318,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2015,Domestic general government health expenditure (% of total government expenditure),13.6966,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2016,Domestic general government health expenditure (% of total government expenditure),13.7230,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
788,Tunisia,2017,Domestic general government health expenditure (% of total government expenditure),13.6278,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2000,Current health expenditure (% of GDP),4.6219,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2005,Current health expenditure (% of GDP),4.9416,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2010,Current health expenditure (% of GDP),5.0536,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2015,Current health expenditure (% of GDP),4.1385,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2016,Current health expenditure (% of GDP),4.3143,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2017,Current health expenditure (% of GDP),4.2163,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2000,Domestic general government health expenditure (% of total government expenditure),7.1863,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2005,Domestic general government health expenditure (% of total government expenditure),10.3245,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2010,Domestic general government health expenditure (% of total government expenditure),10.8749,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2015,Domestic general government health expenditure (% of total government expenditure),9.6731,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2016,Domestic general government health expenditure (% of total government expenditure),9.6476,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
792,Turkey,2017,Domestic general government health expenditure (% of total government expenditure),9.6890,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2000,Current health expenditure (% of GDP),6.8916,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2005,Current health expenditure (% of GDP),9.5553,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2010,Current health expenditure (% of GDP),4.9964,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2015,Current health expenditure (% of GDP),6.2979,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2016,Current health expenditure (% of GDP),6.6211,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2017,Current health expenditure (% of GDP),6.9304,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2000,Domestic general government health expenditure (% of total government expenditure),13.3360,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2005,Domestic general government health expenditure (% of total government expenditure),10.2729,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2010,Domestic general government health expenditure (% of total government expenditure),8.7117,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2015,Domestic general government health expenditure (% of total government expenditure),8.7115,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2016,Domestic general government health expenditure (% of total government expenditure),8.7137,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
795,Turkmenistan,2017,Domestic general government health expenditure (% of total government expenditure),8.7139,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2000,Current health expenditure (% of GDP),24.2439,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2005,Current health expenditure (% of GDP),11.3591,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2010,Current health expenditure (% of GDP),16.4009,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2015,Current health expenditure (% of GDP),16.6996,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2016,Current health expenditure (% of GDP),16.8842,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2017,Current health expenditure (% of GDP),17.1426,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2000,Domestic general government health expenditure (% of total government expenditure),11.9361,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2005,Domestic general government health expenditure (% of total government expenditure),11.6213,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2010,Domestic general government health expenditure (% of total government expenditure),14.7879,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2015,Domestic general government health expenditure (% of total government expenditure),10.8596,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2016,Domestic general government health expenditure (% of total government expenditure),10.0000,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
798,Tuvalu,2017,Domestic general government health expenditure (% of total government expenditure),10.0000,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2000,Current health expenditure (% of GDP),7.5605,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2005,Current health expenditure (% of GDP),11.3637,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2010,Current health expenditure (% of GDP),10.5157,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2015,Current health expenditure (% of GDP),6.7875,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2016,Current health expenditure (% of GDP),6.4068,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2017,Current health expenditure (% of GDP),6.2654,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2000,Domestic general government health expenditure (% of total government expenditure),9.4769,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2005,Domestic general government health expenditure (% of total government expenditure),14.1946,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2010,Domestic general government health expenditure (% of total government expenditure),7.6043,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2015,Domestic general government health expenditure (% of total government expenditure),5.1353,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2016,Domestic general government health expenditure (% of total government expenditure),5.1353,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
800,Uganda,2017,Domestic general government health expenditure (% of total government expenditure),5.1353,"Unlike other countries, in Uganda Fiscal Years starting on July 1 and ending in June 30 are converted to the previous year and that is a special request from the country.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2000,Current health expenditure (% of GDP),5.3069,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2005,Current health expenditure (% of GDP),6.3462,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2010,Current health expenditure (% of GDP),6.8123,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2015,Current health expenditure (% of GDP),6.9454,"Since 2014 Ukraine data does not include the Luhansk People's Republic, the Autonomous Republic of Crimea and the Donetsk People's Republic data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2016,Current health expenditure (% of GDP),6.7563,"Since 2014 Ukraine data does not include the Luhansk People's Republic, the Autonomous Republic of Crimea and the Donetsk People's Republic data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2017,Current health expenditure (% of GDP),6.9953,"Since 2014 Ukraine data does not include the Luhansk People's Republic, the Autonomous Republic of Crimea and the Donetsk People's Republic data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2000,Domestic general government health expenditure (% of total government expenditure),7.0812,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2005,Domestic general government health expenditure (% of total government expenditure),8.4319,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2010,Domestic general government health expenditure (% of total government expenditure),7.5005,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2015,Domestic general government health expenditure (% of total government expenditure),6.6355,"Since 2014 Ukraine data does not include the Luhansk People's Republic, the Autonomous Republic of Crimea and the Donetsk People's Republic data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2016,Domestic general government health expenditure (% of total government expenditure),7.0286,"Since 2014 Ukraine data does not include the Luhansk People's Republic, the Autonomous Republic of Crimea and the Donetsk People's Republic data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
804,Ukraine,2017,Domestic general government health expenditure (% of total government expenditure),7.4239,"Since 2014 Ukraine data does not include the Luhansk People's Republic, the Autonomous Republic of Crimea and the Donetsk People's Republic data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2000,Current health expenditure (% of GDP),2.3741,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2005,Current health expenditure (% of GDP),2.3202,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2010,Current health expenditure (% of GDP),3.8787,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2015,Current health expenditure (% of GDP),3.5836,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2016,Current health expenditure (% of GDP),3.4034,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2017,Current health expenditure (% of GDP),3.3343,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2000,Domestic general government health expenditure (% of total government expenditure),7.5661,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2005,Domestic general government health expenditure (% of total government expenditure),8.3768,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2010,Domestic general government health expenditure (% of total government expenditure),8.5268,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2015,Domestic general government health expenditure (% of total government expenditure),7.8905,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2016,Domestic general government health expenditure (% of total government expenditure),7.8905,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
784,United Arab Emirates,2017,Domestic general government health expenditure (% of total government expenditure),7.8905,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2000,Current health expenditure (% of GDP),5.9716,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2005,Current health expenditure (% of GDP),7.1746,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2010,Current health expenditure (% of GDP),8.4339,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2015,Current health expenditure (% of GDP),9.6868,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2016,Current health expenditure (% of GDP),9.6990,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2017,Current health expenditure (% of GDP),9.6317,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2000,Domestic general government health expenditure (% of total government expenditure),13.7715,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2005,Domestic general government health expenditure (% of total government expenditure),14.5087,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2010,Domestic general government health expenditure (% of total government expenditure),15.0291,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2015,Domestic general government health expenditure (% of total government expenditure),18.3611,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2016,Domestic general government health expenditure (% of total government expenditure),18.7685,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
826,United Kingdom,2017,Domestic general government health expenditure (% of total government expenditure),18.7396,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2000,Current health expenditure (% of GDP),3.4006,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2005,Current health expenditure (% of GDP),6.4139,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2010,Current health expenditure (% of GDP),5.2991,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2015,Current health expenditure (% of GDP),3.6496,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2016,Current health expenditure (% of GDP),3.9635,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2017,Current health expenditure (% of GDP),3.6455,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2000,Domestic general government health expenditure (% of total government expenditure),6.0520,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2005,Domestic general government health expenditure (% of total government expenditure),12.6199,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2010,Domestic general government health expenditure (% of total government expenditure),7.2644,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2015,Domestic general government health expenditure (% of total government expenditure),7.3306,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
834,United Rep. of Tanzania,2016,Domestic general government health expenditure (% of total government expenditure),9.5214,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
